id,title,artist_id,genre,duration_seconds,description
song-1,Boy Named Sue,artist-17,Country,336,A humorous story-song about a boy seeking revenge on his absent father for giving him a girl's name.
song-2,Fading Storms,artist-18,Country,317,A warm country tune blending storytelling tradition with foot-stomping acoustic energy.
song-3,High Life,artist-15,Electronic,205,"A pulsating electronic track weaving synthetic textures into a mesmerizing, futuristic soundscape."
song-4,Your Song,artist-6,Pop,199,A tender declaration of love wrapped in gentle piano melodies and heartfelt simplicity.
song-5,Three Little Birds,artist-14,Reggae,185,An uplifting reggae anthem reassuring listeners that everything is going to be alright.
song-6,Dark Mountains,artist-14,Reggae,298,A rhythmic reggae anthem radiating peace and positivity through offbeat guitar chops.
song-7,Frozen,artist-9,Pop,247,A brooding pop ballad exploring emotional detachment and the desire to break free.
song-8,Golden Shadows,artist-19,Classical,305,A graceful classical piece flowing with refined beauty and subtle emotional depth.
song-9,Punky Reggae Party,artist-14,Reggae,291,A high-energy fusion of punk attitude and reggae grooves celebrating musical unity.
song-10,Distant Skies,artist-11,Jazz,191,A swinging jazz number driven by rhythmic vitality and spontaneous creative energy.
song-11,The Winner Takes It All,artist-6,Pop,276,A poignant pop ballad about heartbreak and acceptance after a relationship ends.
song-12,Dark Shadows,artist-10,Pop,157,An upbeat pop anthem radiating positive energy through bright melodies and crisp arrangements.
song-13,Naima,artist-11,Jazz,175,"A hauntingly beautiful jazz ballad dedicated to Coltrane's first wife, full of warm harmonics."
song-14,Beyond,artist-16,Electronic,263,"A driving electronic piece built on layered synths and a relentless, hypnotic beat."
song-15,Rocket Man,artist-9,Pop,331,"A melancholic reflection on the isolation of space travel, set against soaring melodies."
song-16,Mr PC,artist-13,Jazz,394,"A hard-driving jazz tribute to bassist Paul Chambers, fueled by relentless swing energy."
song-17,Is This Love,artist-14,Reggae,230,A sweet reggae love song with an irresistible groove and romantic sincerity.
song-18,Wild Skies,artist-15,Electronic,228,"A cerebral electronic exploration balancing mechanical precision with organic, emotional undertones."
song-19,Bright Waves,artist-2,Rock,327,An anthemic rock song blending heavy instrumentation with soaring vocal melodies.
song-20,Distant Dreams,artist-2,Rock,299,A sweeping rock ballad balancing heavy instrumentation with moments of quiet introspection.
song-21,Tuesdays Gone,artist-5,Rock,389,A muscular rock anthem fueled by relentless riffs and commanding vocal delivery.
song-22,Badlands,artist-2,Rock,410,"A driving rock track with powerful guitar riffs and raw, unfiltered energy."
song-23,Golden Shadows,artist-3,Rock,345,"A driving rock track with powerful guitar riffs and raw, unfiltered energy."
song-24,Bright Skies,artist-6,Pop,208,A cheerful pop tune radiating optimism with sunny melodies and uplifting harmonies.
song-25,Last Dreams,artist-19,Classical,295,"A delicate classical composition balancing intricate counterpoint with lyrical, singing melodies."
song-26,Nefertiti,artist-11,Jazz,234,A hypnotic jazz piece where the horns repeat a haunting melody over shifting rhythms.
song-27,We Will Rock You,artist-4,Rock,324,An iconic stadium rock anthem built on stomping beats and defiant chants.
song-28,Dark Stars,artist-9,Pop,306,A silky pop number with lush harmonies and an effortlessly memorable chorus.
song-29,Hotel California,artist-1,Rock,344,A mysterious rock epic about excess and entrapment in a surreal desert hotel.
song-30,Take It Easy,artist-3,Rock,233,A breezy country-rock classic about slowing down and enjoying the open road.
song-31,Lost Skies,artist-8,Pop,315,A silky pop number with lush harmonies and an effortlessly memorable chorus.
song-32,One Love,artist-14,Reggae,187,A unifying reggae hymn calling for peace and togetherness across all people.
song-33,ESP,artist-12,Jazz,151,A haunting jazz meditation drifting through shadowy harmonies and introspective silences.
song-34,Come Together,artist-7,Pop,341,"A funky, cryptic rock track with hypnotic bass and surreal lyrical imagery."
song-35,Wild Mountains,artist-5,Rock,403,A sweeping rock ballad balancing heavy instrumentation with moments of quiet introspection.
song-36,What a Wonderful World,artist-13,Jazz,270,"A warm, optimistic jazz standard celebrating the beauty of everyday life."
song-37,Rising Lights,artist-20,Classical,160,A majestic classical piece unfolding with rich orchestral textures and timeless elegance.
